mc_initial,temperature,humidity,mc_final,drying_time,temp_ave,humidity_ave,mc_decay
16.5,29.6,78.0,11.0,7.0,30.8375,71.75,0.785714286
17.0,29.6,78.0,10.0,7.0,30.8375,71.75,1.0
17.0,29.6,78.0,10.5,7.0,30.8375,71.75,0.928571429
17.5,29.6,78.0,10.0,7.0,30.8375,71.75,1.071428571
17.5,29.6,78.0,10.5,7.0,30.8375,71.75,1.0
16.5,29.6,78.0,10.5,7.0,30.8375,71.75,0.857142857
18.0,29.6,78.0,10.0,7.0,30.8375,71.75,1.142857143
16.5,29.6,78.0,9.5,7.0,30.8375,71.75,1.0
17.0,30.0,78.0,11.0,7.0,31.0625,70.75,0.857142857
17.0,30.0,78.0,10.0,7.0,31.0625,70.75,1.0
18.0,30.0,78.0,10.0,7.0,31.0625,70.75,1.142857143
17.0,30.0,78.0,10.5,7.0,31.0625,70.75,0.928571429
16.5,30.0,78.0,10.5,7.0,31.0625,70.75,0.857142857
18.0,30.0,78.0,10.5,7.0,31.0625,70.75,1.071428571
17.0,30.0,78.0,12.0,7.0,31.0625,71.75,0.714285714
17.5,30.0,78.0,12.0,7.0,31.0625,71.75,0.785714286
18.0,30.0,78.0,11.5,7.0,31.0625,71.75,0.928571429
17.5,30.0,78.0,11.5,7.0,31.0625,71.75,0.857142857
16.5,30.0,78.0,11.5,7.0,31.0625,71.75,0.714285714
18.0,30.0,78.0,12.0,7.0,31.0625,71.75,0.857142857
16.5,30.0,78.0,11.0,7.0,31.0625,71.75,0.785714286
17.0,30.0,78.0,11.5,7.0,31.0625,71.75,0.785714286
17.0,30.0,78.0,10.0,7.0,31.0625,71.75,1.0
16.5,30.0,78.0,10.5,7.0,31.0625,71.75,0.857142857
18.0,31.0,75.0,12.0,6.0,31.18571429,70.85714286,1.0
17.5,31.0,75.0,12.0,6.0,31.18571429,70.85714286,0.916666667
18.5,31.0,75.0,12.0,6.0,31.18571429,70.85714286,1.083333333
18.0,31.0,75.0,12.5,6.0,31.18571429,70.85714286,0.916666667
18.5,31.0,75.0,13.0,6.0,31.18571429,70.85714286,0.916666667
18.0,31.0,75.0,13.0,6.0,31.18571429,70.85714286,0.833333333
17.0,31.0,75.0,12.0,6.0,31.18571429,70.85714286,0.833333333
17.0,31.2,75.0,12.0,6.0,31.27142857,70.85714286,0.833333333
17.5,31.2,75.0,11.5,6.0,31.27142857,70.85714286,1.0
18.5,31.2,75.0,12.0,6.0,31.27142857,70.85714286,1.083333333
18.0,31.2,75.0,12.0,6.0,31.27142857,70.85714286,1.0
17.5,31.2,75.0,12.0,6.0,31.27142857,70.85714286,0.916666667
16.5,31.2,75.0,12.0,6.0,31.27142857,70.85714286,0.75
16.0,31.2,75.0,12.0,6.0,31.27142857,70.85714286,0.666666667
18.5,31.3,70.0,12.0,5.0,31.21666667,70.16666667,1.3
17.5,31.3,70.0,12.0,5.0,31.21666667,70.16666667,1.1
17.0,31.3,70.0,12.5,5.0,31.21666667,70.16666667,0.9
17.0,31.3,70.0,12.0,5.0,31.21666667,70.16666667,1.0
16.5,31.3,70.0,12.0,5.0,31.21666667,70.16666667,0.9
16.5,31.3,70.0,12.5,5.0,31.21666667,70.16666667,0.8
17.5,31.3,70.0,11.5,5.0,31.21666667,70.16666667,1.2
18.0,31.3,70.0,12.0,5.0,31.21666667,70.16666667,1.2
16.5,31.3,70.0,10.5,5.17,31.21666667,70.16666667,1.161290323
15.5,31.3,70.0,10.5,5.17,31.21666667,70.16666667,0.967741935
15.5,31.3,70.0,11.0,5.17,31.21666667,70.16666667,0.870967742
16.5,31.3,70.0,11.0,5.17,31.21666667,70.16666667,1.064516129
16.5,31.3,70.0,10.0,5.17,31.21666667,70.16666667,1.258064516
17.0,31.3,70.0,11.0,5.17,31.21666667,70.16666667,1.161290323
17.5,31.3,70.0,11.0,5.17,31.21666667,70.16666667,1.258064516
16.0,31.3,70.0,11.5,5.17,31.21666667,70.16666667,0.870967742
16.0,31.3,70.0,11.0,5.17,31.21666667,70.16666667,0.967741935
15.5,31.3,70.0,11.5,5.17,31.21666667,70.16666667,0.774193548
15.0,31.3,70.0,11.5,5.17,31.21666667,70.16666667,0.677419355
33.0,32.0,69.0,13.0,6.0,31.68571429,60.0,3.333333333
32.0,32.0,69.0,13.0,6.0,31.68571429,60.0,3.166666667
32.5,32.0,69.0,13.5,6.0,31.68571429,60.0,3.166666667
33.5,32.0,69.0,13.0,6.0,31.68571429,60.0,3.416666667
33.5,32.0,69.0,12.0,6.0,31.68571429,60.0,3.583333333
33.0,32.0,69.0,11.0,6.0,31.68571429,60.0,3.666666667
35.0,32.0,69.0,12.5,6.0,31.68571429,60.0,3.75
35.0,32.0,69.0,13.0,6.0,31.68571429,60.0,3.666666667
32.5,32.0,69.0,13.0,6.0,31.68571429,60.0,3.25
33.5,32.0,69.0,12.5,6.0,31.68571429,60.0,3.5
32.0,32.0,67.0,14.0,6.0,32.0,61.0,3.0
33.0,32.0,67.0,13.5,6.0,32.0,61.0,3.25
32.0,32.0,67.0,13.0,6.0,32.0,61.0,3.166666667
33.5,32.0,67.0,13.0,6.0,32.0,61.0,3.416666667
30.5,32.0,67.0,12.5,6.0,32.0,61.0,3.0
30.5,32.0,67.0,13.5,6.0,32.0,61.0,2.833333333
32.5,32.0,67.0,13.0,6.0,32.0,61.0,3.25
31.5,32.0,67.0,12.0,6.0,32.0,61.0,3.25
31.0,32.0,67.0,12.0,6.0,32.0,61.0,3.166666667
31.5,32.0,67.0,13.0,6.0,32.0,61.0,3.083333333
31.0,32.0,67.0,13.0,6.0,32.0,61.0,3.0
33.0,32.0,67.0,13.0,6.0,32.0,61.0,3.333333333
32.5,32.0,67.0,12.0,6.0,32.0,61.0,3.416666667
33.5,32.0,65.0,13.0,6.58,31.6,61.71428571,3.113924051
32.5,32.0,65.0,13.0,6.58,31.6,61.71428571,2.962025316
33.5,32.0,65.0,12.5,6.58,31.6,61.71428571,3.189873418
30.5,32.0,65.0,13.0,6.58,31.6,61.71428571,2.658227848
31.5,32.0,65.0,13.0,6.58,31.6,61.71428571,2.810126582
32.0,32.0,65.0,13.0,6.58,31.6,61.71428571,2.886075949
33.0,32.0,65.0,13.0,6.58,31.6,61.71428571,3.037974684
32.0,32.0,65.0,11.5,6.58,31.6,61.71428571,3.113924051
34.0,32.0,65.0,13.5,6.58,31.6,61.71428571,3.113924051
30.5,32.0,65.0,13.5,6.58,31.6,61.71428571,2.582278481
