mc_initial,temperature,humidity,mc_final,drying_time
16.5,29.6,78,11,7
17,29.6,78,10,7
17,29.6,78,10.5,7
17.5,29.6,78,10,7
17.5,29.6,78,10.5,7
16.5,29.6,78,10.5,7
18,29.6,78,10,7
16.5,29.6,78,9.5,7
17,30,78,11,7
17,30,78,10,7
18,30,78,10,7
17,30,78,10.5,7
16.5,30,78,10.5,7
18,30,78,10.5,7
17,30,78,12,7
17.5,30,78,12,7
18,30,78,11.5,7
17.5,30,78,11.5,7
16.5,30,78,11.5,7
18,30,78,12,7
16.5,30,78,11,7
17,30,78,11.5,7
17,30,78,10,7
16.5,30,78,10.5,7
18,31,75,12,6
17.5,31,75,12,6
18.5,31,75,12,6
18,31,75,12.5,6
18.5,31,75,13,6
18,31,75,13,6
17,31,75,12,6
17,31.2,75,12,6
17.5,31.2,75,11.5,6
18.5,31.2,75,12,6
18,31.2,75,12,6
17.5,31.2,75,12,6
16.5,31.2,75,12,6
16,31.2,75,12,6
18.5,31.3,70,12,5
17.5,31.3,70,12,5
17,31.3,70,12.5,5
17,31.3,70,12,5
16.5,31.3,70,12,5
16.5,31.3,70,12.5,5
17.5,31.3,70,11.5,5
18,31.3,70,12,5
16.5,31.3,70,10.5,5.17
15.5,31.3,70,10.5,5.17
15.5,31.3,70,11,5.17
16.5,31.3,70,11,5.17
16.5,31.3,70,10,5.17
17,31.3,70,11,5.17
17.5,31.3,70,11,5.17
16,31.3,70,11.5,5.17
16,31.3,70,11,5.17
15.5,31.3,70,11.5,5.17
15,31.3,70,11.5,5.17
33,32,69,13,6
32,32,69,13,6
32.5,32,69,13.5,6
33.5,32,69,13,6
33.5,32,69,12,6
33,32,69,11,6
35,32,69,12.5,6
35,32,69,13,6
32.5,32,69,13,6
33.5,32,69,12.5,6
32,32,67,14,6
33,32,67,13.5,6
32,32,67,13,6
33.5,32,67,13,6
30.5,32,67,12.5,6
30.5,32,67,13.5,6
32.5,32,67,13,6
31.5,32,67,12,6
31,32,67,12,6
31.5,32,67,13,6
31,32,67,13,6
33,32,67,13,6
32.5,32,67,12,6
33.5,32,65,13,6.58
32.5,32,65,13,6.58
33.5,32,65,12.5,6.58
30.5,32,65,13,6.58
31.5,32,65,13,6.58
32,32,65,13,6.58
33,32,65,13,6.58
32,32,65,11.5,6.58
34,32,65,13.5,6.58
