Capacitive Value,Capacitive %,AR991,AR991 %,DHT_TEMP,DHT_HUM
730,0,730,0,24.5,0.63
684,11.5,690.8,9.8,24.5,0.63
330,100,730,,24.5,0.63
,Disconnected,730,,,
682,12,682.8,11.8,24.5,0.63
682,12,682,12,24.5,0.63
681,12.25,688,10.5,24.5,0.63
683,11.75,688,10.5,24.5,0.63
684,11.5,688.8,10.3,24.7,0.62
,Disconnected,730,,,
687,10.75,702,7,24.7,0.62
685,11.25,702,7,24.6,0.62
685,11.25,702,7,24.7,0.62
685,11.25,702,7,24.7,0.62
685,11.25,702,7,24.7,0.62
,Disconnected,730,,,
663,16.75,647.2,20.7,24.6,0.62
665,16.25,664,16.5,24.6,0.62
674,14,676.4,13.4,24.6,0.62
674,14,676.8,13.3,24.6,0.62
676,13.5,681.6,12.1,24.6,0.62
,Disconnected,730,,,
625,26.25,618.8,27.8,25,0.62
635,23.75,635.2,23.7,25,0.62
640,22.5,641.2,22.2,25,0.62
644,21.5,647.6,20.6,25,0.62
646,21,649.2,20.2,25,0.62
658,18,658,18,25,0.62
667,15.75,668.8,15.3,25,0.62
672,14.5,665.2,16.2,25,0.62
,Disconnected,730,,,
730,0,730,0,24.5,0.63
693,9.25,689.6,10.1,24.5,0.63
368,90.5,730,,,
,Disconnected,730,,,
665,16.25,650.8,19.8,25.4,0.63
665,16.25,651.6,19.6,25.4,0.63
662,17,656.4,18.4,24.6,0.62
665,16.25,664.8,16.3,24.6,0.62
672,14.5,667.2,15.7,24.6,0.62
,Disconnected,730,,,
677,13.25,681.6,12.1,24.4,0.63
672,14.5,682,12,24.4,0.63
673,14.25,681.6,12.1,24.6,0.64
684,11.5,682,12,24.6,0.64
684,11.5,682,12,24.6,0.64
,Disconnected,730,,,
638,23,630.8,24.8,24.6,0.64
653,19.25,648.8,20.3,24.6,0.64
654,19,654,19,24.6,0.64
655,18.75,658,18,24.6,0.64
660,17.5,662,17,24.6,0.64
665,16.25,663.6,16.6,24.6,0.64
675,13.75,673.2,14.2,26.3,0.64
,Disconnected,730,,,
585,36.25,566.8,40.8,25.8,0.62
592,34.5,571.2,39.7,25.4,0.63
597,33.25,580,37.5,25.4,0.63
598,33,581.6,37.1,25.2,0.63
612,29.5,598,33,25,0.62
623,26.75,602.8,31.8,25,0.62
618,28,612.8,29.3,25,0.62
627,25.75,615.6,28.6,25,0.62
,Disconnected,730,,,
665,16.25,672,14.5,25,0.61
655,18.75,667.6,15.6,25,0.61
670,15,668.8,15.3,24.4,0.57
667,15.75,670.4,14.9,24.6,0.56
,Disconnected,730,,,
,Disconnected,730,,,
682,12,679.6,12.6,25.9,0.6
684,11.5,680.8,12.3,26.4,0.6
686,11,680,12.5,26.4,0.6
680,12.5,679.2,12.7,25.9,0.61
677,13.25,678,13,25.4,0.61
,Disconnected,730,,,
648,20.5,640.8,22.3,25.7,0.61
660,17.5,647.2,20.7,,
,Disconnected,730,,,
685,11.25,690.8,9.8,23.7,0.66
686,11,690.4,9.9,24.4,0.63
687,10.75,690.8,9.8,24.7,0.61
649,20.25,627.6,25.6,24.7,0.61
655,18.75,635.2,23.7,24.7,0.61
657,18.25,650.4,19.9,24.7,0.61
660,17.5,660,17.5,24.7,0.61
660,17.5,660,17.5,24.7,0.61
660,17.5,660,17.5,24.7,0.61
660,17.5,660,17.5,24.7,0.61
665,16.25,666.4,15.9,24.7,0.61
665,16.25,666.4,15.9,24.7,0.61
665,16.25,666.4,15.9,24.7,0.61
665,16.25,666.4,15.9,24.7,0.61
679,12.75,676,13.5,24.7,0.61
679,12.75,676,13.5,24.7,0.61
679,12.75,676,13.5,24.7,0.61
682,12,676,13.5,24.7,0.61
682,12,676,13.5,24.7,0.61
682,12,678.4,12.9,24.7,0.61
677,13.25,676,13.5,24.7,0.61
677,13.25,676,13.5,24.7,0.61
650,20,650,20,25.1,59
652,19.5,650,20,25.1,59
660,17.5,659.2,17.7,25.1,59
667,15.75,666,16,25.1,59
673,14.25,672.8,14.3,25,60
674,14,674.8,13.8,24.9,0.59
679,12.75,676.4,13.4,24.9,0.59
681,12.25,679.6,12.6,24.9,0.6
608,30.5,593.2,34.2,24.9,0.6
603,31.75,595.6,33.6,24.9,0.6
596,33.5,596.8,33.3,24.9,0.6
607,30.75,607.2,30.7,24.9,0.59
610,30,608,30.5,24.9,0.59
596,33.5,598,33,24.9,0.59
579,37.75,579.6,37.6,24.9,0.59
578,38,573.6,39.1,24.9,0.59
574,39,571.2,39.7,24.9,0.59
576,38.5,571.2,39.7,24.9,0.59
570,40,567.6,40.6,24.9,0.59
561,42.25,568.8,40.3,25.1,0.59
572,39.5,576.4,38.4,25.1,0.59
585,36.25,584.8,36.3,25.1,0.59
581,37.25,580.8,37.3,25.1,0.59
572,39.5,575.6,38.6,25.1,0.59
576,38.5,576.8,38.3,25.1,0.59
577,38.25,580,37.5,25.1,0.59
586,36,584.4,36.4,25.1,0.59
586,36,586,36,25.1,0.59
594,34,589.2,35.2,25.1,0.59
597,33.25,596.8,33.3,25.1,0.59
636,23.5,637.2,23.2,25.1,0.59
651,19.75,651.6,19.6,25.1,0.59
666,16,667.6,15.6,24.9,0.61
669,15.25,671.6,14.6,24.9,0.61
675,13.75,672.4,14.4,25.1,0.61
674,14,672.4,14.4,25.1,0.61
670,15,664.4,16.4,25.3,0.61
665,16.25,666.8,15.8,25.3,0.61
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
,Disconnected,,,,
